Comprensión de Textos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;CAPACIDADES;;;;%_POR_CAPACIDAD;;;;PROMEDIO_X_SECCION
3;1;"I.E. Nº 5124 ""LIBERTADOR SIMON BOLIVAR""  HIROSHIMA";5to;4;4;169;167;94;83;77;92;103;73;83;25;82;76;77;73;77;87;93;65;53;76;69;83;;7;1;1;1;48%;38%;49%;43%;18
4;1;"I.E. Nº 5125 ""CASUARINAS""";5to;5;5;174;173;96;64;59;115;127;79;60;37;66;82;71;63;70;89;113;40;106;92;43;113;;6;1;1;1;37%;42%;39%;33%;19
5;1;"I.E. Nº 5127 ""MÁRTIR JOSE OLAYA """;5to;5;5;192;190;112;92;103;127;152;145;110;108;97;111;48;103;59;104;111;83;97;121;96;138;;5;2;1;1;45%;44%;50%;33%;19
6;1;"I.E. Nº 5129 ""VENCEDORES DE PACHACÚTEC""";5to;4;4;125;127;75;61;42;70;87;61;42;35;47;58;30;42;35;70;79;31;66;42;38;80;;6;1;1;1;42%;42%;51%;44%;17
7;1;"I.E. Nº 5130- ""PACHACÚTEC""";5to;5;5;187;169;131;119;68;130;146;114;94;64;101;126;83;77;60;107;112;62;108;89;91;112;;8;1;1;1;58%;55%;68%;51%;23
8;1;I.E. Nº 5140 PRES. DE LA REPUBLICA DE COLOMBIA DR. ALVARO URIBE VELEZ;5to;5;0;139;108;89;54;45;80;85;84;49;51;53;74;69;85;45;68;87;52;70;88;54;88;;5;2;2;1;47%;50%;55%;41%;15
9;1;I.E. 5141;5to;2;2;76;90;40;37;19;47;58;38;20;16;24;33;28;31;20;23;53;16;35;28;25;49;;6;1;1;1;36%;37%;31%;37%;14
10;1;I.E. Nº  5147;5to;3;3;55;47;30;24;17;26;39;20;17;13;22;20;7;23;14;22;39;15;33;29;12;9;;7;1;1;1;47%;57%;47%;28%;18
11;1;IE Nº 5148 - LAS BRISAS DE PACHACÚTEC;5to;1;1;33;31;10;14;1;19;22;17;8;8;13;13;3;10;10;13;20;2;13;18;14;15;;6;1;1;1;41%;37%;42%;27%;16
12;1;I.E. N° 5154;5to;1;1;32;28;12;6;6;10;18;5;7;8;7;7;6;12;14;18;18;8;12;12;13;18;;5;1;1;1;36%;43%;45%;46%;16
13;1;I.E. FE Y ALEGRIA 59;5to;2;2;72;72;37;48;24;57;62;35;18;10;36;27;21;37;25;38;60;22;53;38;35;54;;7;1;1;1;51%;63%;45%;53%;21
14;1;I.E. SAN JUAN MACIAS;5to;1;1;36;36;22;27;10;33;33;17;19;14;20;2;10;20;20;28;33;10;27;26;17;25;;8;1;1;1;60%;65%;42%;49%;23
15;1;IE Nº 5142  - VIRGEN DE GUADALUPE;5to;2;2;78;70;41;41;28;44;52;34;34;25;26;21;27;22;25;41;45;17;43;31;23;50;;7;1;1;1;48%;46%;44%;48%;19
16;2;"I.E. Nº 5117 ""JORGE PORTOCARRERO REBAZA""";5to;4;4;148;144;121;113;72;102;109;94;83;86;91;81;60;78;118;95;119;50;113;108;103;117;;10;1;1;1;69%;66%;61%;58%;27
17;2;"I.E. Nº 5128 "" SAGRADO CORAZÓN DE MARIA""";5to;5;5;149;143;60;82;71;100;116;88;68;39;61;71;52;61;50;74;94;33;86;72;36;77;;7;1;1;1;50%;52%;51%;38%;19
18;2;"I.E. Nº 5144 ""DIVINO CRISTO EN LAS ALTURAS""";5to;2;2;57;52;20;26;18;41;40;19;11;9;14;14;20;18;13;26;37;12;26;23;10;34;;6;1;1;1;41%;42%;39%;44%;17
19;2;"I.E. Nº 5145 ""BALNEARIO""";5to;3;3;104;89;46;19;32;44;58;26;22;21;32;30;19;28;28;47;54;19;50;33;35;42;;5;1;1;1;37%;43%;43%;34%;15
20;2;I.E. Nº 5146;5to;2;2;63;60;31;24;23;34;48;30;19;7;22;27;22;21;24;30;42;9;39;27;11;45;;6;1;1;1;43%;50%;48%;45%;18
21;2;I.E. N° 5152;5to;2;2;59;56;14;17;16;27;32;23;28;16;14;16;20;14;17;20;21;10;21;23;26;33;;5;1;1;1;37%;36%;35%;35%;14
22;2;"I.E. ""FE Y ALEGRIA"" Nº 76";5to;2;2;70;69;30;32;28;49;58;41;33;24;31;31;29;31;29;44;57;16;47;34;23;53;;8;1;1;1;52%;57%;54%;50%;21
23;2;I.E. COPRODELI SAN FRANCISCO SOLANO;5to;2;0;61;56;38;32;32;44;43;27;23;21;35;22;19;23;25;35;45;14;39;26;27;20;;8;1;1;1;55%;55%;51%;31%;21
24;2;I.E. COPRODELI SAN MARTIN;5to;1;1;34;33;17;20;11;23;28;12;15;8;21;21;11;15;11;23;27;8;27;16;14;22;;7;1;1;1;49%;62%;65%;44%;21
25;2;I.E. CROPODELI SANTA MARIA ASUNTA AL CIELO;5to;2;2;64;58;26;32;15;43;48;32;25;12;32;20;24;27;27;30;45;13;44;26;23;44;;7;1;1;1;51%;61%;43%;49%;21
26;2;I.E. N° 5156 ELIAS AGUIRRE;5to;2;2;74;74;38;21;25;42;50;19;27;14;26;42;26;34;31;39;47;17;38;28;22;44;;6;1;2;1;40%;49%;54%;41%;17
27;3;IE N° 5087;5to;2;2;66;65;33;29;26;36;51;28;23;22;35;29;24;26;24;31;44;18;36;24;14;44;;6;1;1;1;46%;48%;47%;48%;19
28;3;IE N° 5120;5to;3;3;101;101;61;55;30;73;81;61;44;27;41;25;34;48;38;47;79;29;63;44;33;67;;7;1;1;1;50%;39%;37%;30%;20
29;3;FE Y ALEGRIA N°43;5to;3;3;98;95;51;57;33;74;85;52;60;42;48;35;45;44;42;57;81;31;70;58;43;76;;8;1;1;1;59%;61%;49%;57%;23
30;3; IE N° 3720 NUESTRA SEÑORA DE LA MISERICORDIA;5to;3;3;93;91;55;63;43;79;80;60;42;34;56;56;23;50;35;66;83;34;77;69;39;78;;8;1;1;1;60%;70%;67%;62%;25
31;3;ESCUELA HOGAR COMUNITARIA REGIONAL SAGRADA FAMILIA;5to;2;3;83;80;31;19;12;30;27;25;18;15;18;18;17;12;15;20;30;8;27;19;14;13;;4;0;1;0;26%;24%;23%;8%;10
32;3;IEN°5094 NACIONES UNIDAS;5to;4;4;131;126;75;59;36;72;71;63;23;40;45;59;48;41;55;75;83;27;74;67;36;75;;6;1;1;1;44%;46%;53%;41%;18
33;3;IEN° 5123 FRANCISCO BOLOGNESI;5to;3;3;95;93;66;72;28;82;80;68;55;38;58;51;32;49;42;57;76;25;64;58;38;75;;9;1;1;1;61%;61%;58%;54%;24
34;3;IE N° 3089  “LOS ANGELES”;5to;4;4;135;131;70;66;43;93;98;87;48;36;58;62;38;64;57;82;96;22;76;62;68;83;;7;1;1;1;50%;54%;55%;40%;20
35;3;IE N° 5077 “FAUSTINO SANCHEZ CARRION”;5to;4;4;138;125;64;65;34;91;88;69;36;17;52;41;36;44;50;73;96;34;81;63;39;83;;7;1;1;1;45%;50%;45%;46%;19
36;3;IE 5121 “PEDRO PLANA SILVA”;5to;4;4;113;110;77;73;65;73;89;72;58;46;64;66;49;62;55;68;90;50;78;63;59;80;;8;1;1;1;55%;56%;57%;46%;26
37;4;IE N° 5098 KUMAMOTO;5to;2;2;77;73;35;25;22;46;48;29;25;18;24;28;19;18;23;38;37;15;37;21;13;38;;6;1;1;1;39%;39%;47%;38%;16
38;4;IE N° 5119 VILLA EMILIA;5to;3;3;103;101;61;35;31;54;63;57;34;30;29;54;31;24;29;30;65;23;51;44;22;54;;6;1;1;1;41%;36%;42%;38%;16
39;4;IE N° 5130-2 VILLA DEL MAR;5to;1;1;31;31;24;23;22;20;23;22;18;21;19;20;16;19;18;27;20;9;19;17;21;22;;9;1;2;1;65%;61%;76%;50%;26
40;4;IE N° 5130-4 CHAVINILLO;5to;2;2;55;55;18;35;18;30;24;30;20;11;18;11;18;28;22;13;18;11;17;25;12;29;;5;2;1;1;40%;46%;28%;36%;15
41;4;IE N° 5135 LA SALLE;5to;2;2;54;53;29;27;20;35;43;25;22;16;23;18;14;19;19;29;41;15;28;26;20;38;;7;1;1;1;48%;44%;45%;50%;19
42;4;IE FE Y ALEGRIA N° 33;5to;5;5;153;149;82;84;48;119;125;83;83;40;80;67;45;78;67;98;114;30;95;90;64;106;;7;1;1;1;54%;58%;55%;46%;21
43;4;IE MANUEL SEOANE C.;5to;7;0;283;263;140;111;80;165;193;122;100;71;119;101;79;100;79;124;160;80;131;103;93;126;;6;1;1;1;44%;44%;43%;39%;17
44;5;"I.E. N° 4020 ""JOSÉ SANTOS CHOCANO""";5to;2;2;89;83;57;47;44;53;60;35;31;31;29;33;38;28;39;34;41;16;44;33;27;41;;7;1;1;1;48%;43%;41%;35%;19
45;5;"I.E. N° 5051 ""VIRGEN DE FATIMA""";5to;4;4;144;140;63;52;47;76;101;60;31;24;44;38;46;52;32;72;79;28;82;60;41;70;;5;1;1;1;39%;48%;39%;35%;16
46;5;"I.E. N° 5052 ""VIRGEN DE LA MERCED """;5to;6;6;191;179;89;84;69;128;125;53;58;58;68;70;76;74;82;86;125;50;117;85;85;118;;7;1;1;1;48%;53%;45%;47%;19
47;5;"I.E. N° 5053 ""VÍCTOR ANDRÉS BELAÚNDE""";5to;9;9;289;273;140;126;88;185;202;103;103;60;117;105;79;109;99;141;181;68;173;115;93;143;;6;1;1;1;44%;51%;45%;38%;18
48;5;I.E. N° 5096;5to;3;0;117;109;61;54;54;64;68;51;35;52;47;54;47;59;53;61;80;32;68;61;49;59;;7;1;1;1;50%;58%;52%;41%;20
49;5;I.E. N° 5137;5to;1;1;35;29;15;11;9;18;17;14;11;10;10;9;9;12;9;13;17;3;15;11;14;16;;6;1;1;1;43%;47%;38%;33%;17
50;5;I.E. NUESTRA SEÑORA DE BELÉN;5to;3;3;102;90;43;37;26;61;68;50;33;23;38;38;24;45;33;45;58;19;48;41;24;64;;6;1;1;1;45%;52%;46%;46%;18
51;5;I.E. FE Y ALEGRÍA 29;5to;3;3;96;91;53;48;20;67;84;54;37;25;53;33;35;38;41;55;73;24;68;52;44;67;;8;1;1;1;54%;58%;48%;50%;21
52;6;I.E. Nº 4021;5to;3;3;113;96;64;43;23;56;55;55;49;23;38;32;40;30;42;51;55;31;54;47;49;40;;6;1;1;0;46%;45%;41%;33%;18
53;6;"I.E. Nº 5090 ""ANTONIA MORENO DE CACERES""";5to;2;2;64;61;34;22;24;40;49;17;25;12;23;19;23;20;36;30;37;9;35;23;6;25;;6;1;1;1;44%;45%;41%;28%;17
54;6;"I.E. Nº 5093 ""ANTONIO RAYMONDI""";5to;4;4;134;134;75;94;49;108;122;100;54;58;90;56;34;70;53;88;108;43;94;88;64;107;;8;1;1;1;59%;61%;53%;56%;23
55;7;"I.E N° 5088 ""HÉROES DELPACÍFICO""";5to;4;4;146;140;87;65;44;84;96;55;43;49;64;75;53;52;62;76;94;31;79;62;44;86;;7;1;1;1;46%;47%;53%;41%;19
56;7;"I.E. LICEO NAVAL C. DE C. ""MANUEL CLAVERO MUGA""";5to;3;3;90;90;42;41;16;63;67;36;40;21;35;30;17;44;30;50;62;21;59;41;24;62;;6;1;1;1;42%;57%;44%;46%;18
57;7;IE 5091 HIJOS DE GRAU;5to;3;3;92;84;56;37;29;52;69;39;27;47;34;41;23;37;39;41;55;19;51;37;33;54;;7;1;1;1;50%;53%;49%;43%;20
58;7;IE N 5086 POLITECNICO DE VENTANILLA;5to;3;3;108;107;62;56;42;74;86;42;43;29;44;38;21;44;34;55;76;23;68;50;43;61;;6;1;1;1;47%;53%;44%;39%;19
59;7;IE N° 5130-1;5to;3;3;89;82;36;33;20;50;53;30;16;20;29;24;32;25;31;48;59;13;55;31;19;40;;5;1;1;1;40%;49%;44%;33%;16
60;7;IE. N° 5130-3 VRHT;5to;2;2;78;64;38;24;25;40;48;35;18;21;14;16;10;21;21;28;36;22;34;20;15;41;;5;1;1;1;34%;37%;31%;42%;14
61;7;IE.5118 CMDTE JUAN VALER SANDOVAL;5to;4;4;140;141;75;56;37;85;116;68;40;30;55;65;46;53;55;68;88;40;78;56;53;84;;6;1;1;1;44%;47%;48%;44%;18
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACIERTOS POR ITEM;;;;61;0;6366;6053;3,368;2,983;2,166;3,996;4,492;3,051;2,381;1,832;2,654;2,620;2,073;2,534;2,369;3,220;4,094;1,601;3,590;2,941;2,271;3,730;;6;1;1;1;47%;49%;47%;41%;19
PORCENTAJES POR ITEMS;;;;;;;;56%;49%;36%;66%;74%;50%;39%;30%;44%;43%;34%;42%;39%;53%;68%;26%;59%;49%;38%;62%;;;;;;;;;;
